date,prefecture,count
2021-05-07,43,107
2021-05-07,43,456
2021-05-07,43,19
2021-05-07,44,149
2021-05-07,44,323
2021-05-07,44,78
2021-05-07,44,116
2021-05-07,44,11
2021-05-07,45,56
2021-05-07,45,420
2021-05-07,45,31
2021-05-07,45,268
2021-05-07,45,7
2021-05-07,46,41
2021-05-07,46,622
2021-05-07,46,24
2021-05-07,46,421
2021-05-07,46,20
2021-05-07,47,120
2021-05-07,47,118
2021-05-07,47,47
2021-05-07,47,88
2021-05-07,47,3
2021-05-08,1,142
2021-05-08,1,956
2021-05-08,1,63
2021-05-08,1,638
2021-05-08,1,31
2021-05-08,2,113
2021-05-08,2,420
2021-05-08,2,29
2021-05-08,2,257
2021-05-08,2,75
2021-05-08,3,4
2021-05-08,3,369
2021-05-08,3,1
2021-05-08,3,160
2021-05-08,3,1
2021-05-08,4,53
2021-05-08,4,227
2021-05-08,4,16
2021-05-08,4,152
2021-05-08,4,3
2021-05-08,5,31
2021-05-08,5,637
2021-05-08,5,17
2021-05-08,5,445
2021-05-08,5,10
2021-05-08,6,182
2021-05-08,6,942
2021-05-08,6,61
2021-05-08,6,628
2021-05-08,6,9
2021-05-08,7,148
2021-05-08,7,895
2021-05-08,7,76
2021-05-08,7,595
2021-05-08,7,2
2021-05-08,7,15
2021-05-08,8,280
2021-05-08,8,396
2021-05-08,8,115
2021-05-08,8,228
2021-05-08,8,13
2021-05-08,9,13
2021-05-08,9,401
2021-05-08,9,10
2021-05-08,9,356
2021-05-08,9,4
2021-05-08,10,182
2021-05-08,10,414
2021-05-08,10,50
2021-05-08,10,201
2021-05-08,10,9
2021-05-08,11,226
2021-05-08,11,1154
2021-05-08,11,90
2021-05-08,11,770
2021-05-08,11,147
2021-05-08,12,197
2021-05-08,12,557
2021-05-08,12,82
2021-05-08,12,342
2021-05-08,12,22
2021-05-08,13,1203
2021-05-08,13,1320
2021-05-08,13,285
2021-05-08,13,831
2021-05-08,13,18
2021-05-08,14,412
2021-05-08,14,242
2021-05-08,14,115
2021-05-08,14,132
2021-05-08,14,7
2021-05-08,15,12
2021-05-08,15,534
2021-05-08,15,4
2021-05-08,15,403
2021-05-08,15,14
2021-05-08,16,141
2021-05-08,16,135
2021-05-08,16,26
2021-05-08,16,102
2021-05-08,16,3
2021-05-08,17,27
2021-05-08,17,540
2021-05-08,17,30
2021-05-08,17,480
2021-05-08,17,3
2021-05-08,18,14
2021-05-08,18,130
2021-05-08,18,13
2021-05-08,18,51
2021-05-08,19,32
2021-05-08,19,819
2021-05-08,19,17
2021-05-08,19,505
2021-05-08,19,11
2021-05-08,20,313
2021-05-08,20,878
2021-05-08,20,115
2021-05-08,20,722
2021-05-08,20,9
2021-05-08,21,139
2021-05-08,21,494
2021-05-08,21,52
2021-05-08,21,261
2021-05-08,21,15
2021-05-08,22,562
2021-05-08,22,902
2021-05-08,22,162
2021-05-08,22,800
2021-05-08,22,9
2021-05-08,23,356
2021-05-08,23,1682
2021-05-08,23,95
2021-05-08,23,1123
2021-05-08,23,13
2021-05-08,24,69
2021-05-08,24,161
2021-05-08,24,11
2021-05-08,24,78
2021-05-08,24,5
2021-05-08,25,241
2021-05-08,25,931
2021-05-08,25,65
2021-05-08,25,626
2021-05-08,25,6
2021-05-08,26,185
2021-05-08,26,198
2021-05-08,26,95
2021-05-08,26,96
2021-05-08,26,9
2021-05-08,27,399
2021-05-08,27,1130
2021-05-08,27,113
2021-05-08,27,749
2021-05-08,27,26
2021-05-08,28,861
2021-05-08,28,1391
2021-05-08,28,154
2021-05-08,28,1011
2021-05-08,28,30
2021-05-08,29,184
2021-05-08,29,526
2021-05-08,29,36
2021-05-08,29,336
2021-05-08,29,8
2021-05-08,30,205
2021-05-08,30,957
2021-05-08,30,52
2021-05-08,30,798
2021-05-08,30,9
2021-05-08,31,37
2021-05-08,31,623
2021-05-08,31,21
2021-05-08,31,446
2021-05-08,31,3
2021-05-08,32,42
2021-05-08,32,2
2021-05-08,32,41
2021-05-08,32,2
2021-05-08,33,133
2021-05-08,33,194
2021-05-08,33,27
2021-05-08,33,62
2021-05-08,33,6
2021-05-08,34,32
2021-05-08,34,615
2021-05-08,34,18
2021-05-08,34,441
2021-05-08,34,2
2021-05-08,35,2
2021-05-08,35,227
2021-05-08,35,3
2021-05-08,35,158
2021-05-08,35,5
2021-05-08,36,23
2021-05-08,36,122
2021-05-08,36,10
2021-05-08,36,64
2021-05-08,36,8
2021-05-08,37,21
2021-05-08,37,818
2021-05-08,37,17
2021-05-08,37,678
